api36_target36	2b,36,25,5	public-source-probe-call path=/data/app/~~7_posD2Xt1__e0e3j-WT5Q==/local.qbdi.adjustreference-g0OvN03MKCT_ocLhy-EC4Q==/base.apk result=unidbg@0xe4fff2d4 initial=0x0|public-source-probe-return success=0x1 result=0x0
pathshape_simple_same_package	2b,29,36,25,5	public-source-probe-call path=/data/app/local.qbdi.adjustreference/base.apk result=unidbg@0xe4fff2d4 initial=0x0|public-source-probe-return success=0x1 result=0x0
pathshape_tmp_base	2b,29,38,36,25,5	public-source-probe-call path=/tmp/base.apk result=unidbg@0xe4fff2d4 initial=0x0|public-source-probe-return success=0x1 result=0x0
pathshape_canonical_other_random	2b,29,38,36,25,5	public-source-probe-call path=/data/app/~~AAAA/local.qbdi.adjustreference-BBBB/base.apk result=unidbg@0xe4fff2d4 initial=0x0|public-source-probe-return success=0x1 result=0x0
field_source_public	2b,29,36,25,5	public-source-probe-call path=/data/app/local.qbdi.changed/base.apk result=unidbg@0xe4fff2d4 initial=0x0|public-source-probe-return success=0x1 result=0x0
package_only	2b,9,37,36,25,5	public-source-probe-call path=/data/app/~~7_posD2Xt1__e0e3j-WT5Q==/local.qbdi.adjustreference-g0OvN03MKCT_ocLhy-EC4Q==/base.apk result=unidbg@0xe4fff2d4 initial=0x0|public-source-probe-return success=0x1 result=0x0
